HESSI Flare List  (generated  5-Sep-2012 16:47)

Total # flares: 66106  Time range: 12-Feb-2002 21:29:56.000 - 31-Jul-2012 14:38:28.000
 
    Flare     Start time        Peak      End      Dur   Peak     Total      Energy X Pos Y Pos Radial   AR          Flags          
                                                     s    c/s    Counts         keV  asec  asec   asec                              

  7042710 27-Apr-2007 00:29:12 00:29:50 00:31:48   156     64     38352        6-12  -838  -172    856  953  A0 DR P1 Q1              
  7042701 27-Apr-2007 04:06:52 04:11:14 04:25:04  1092    136    404928        6-12  -824  -201    849  953  A0 DR P1 Q1              
  7042702 27-Apr-2007 05:20:36 05:21:02 05:26:16   340    720    914880       12-25  -818  -214    846  953  A0 DR GS P1 Q2           
  7042711 27-Apr-2007 06:04:08 06:05:42 06:08:04   236     72     57600        6-12  -801  -182    821  953  A0 DR P1 Q1              
  7042712 27-Apr-2007 07:36:44 07:37:10 07:38:36   112     30     15072        6-12  -786  -182    807  953  A0 P1                    
  7042719 27-Apr-2007 12:21:16 12:22:06 12:23:32   136     36     22656        6-12  -787  -162    803  953  A0 P1                    
  7042720 27-Apr-2007 13:58:16 13:59:06 14:00:52   156     32     23280        6-12    60  -795    797    0  A0 P1                    
  7042704 27-Apr-2007 14:43:12 14:46:46 14:55:48   756    160    335064        6-12  -771  -180    792  953  A0 ES P1 Q1              
  7042705 27-Apr-2007 14:55:48 14:58:18 14:58:56   188    136     60336        6-12  -777  -164    795  953  A0 GE P1 PE Q2           
  7042721 27-Apr-2007 15:29:16 15:30:14 15:34:16   300     24     34272        6-12   269  -743    791    0  A0 P1                    
  7042722 27-Apr-2007 16:26:48 16:29:18 16:31:52   304     52     61872        6-12  -760  -172    779  953  A0 P1                    
  7042732 27-Apr-2007 16:31:52 16:32:30 16:35:20   208     42     36432        6-12  -761  -172    781  953  A0 P1                    
  7042706 27-Apr-2007 16:39:16 16:42:14 16:45:32   376     46     66384        6-12  -763  -155    778  953  A0 P1 PE Q1              
  7042723 27-Apr-2007 18:06:48 18:07:38 18:08:28   100     34     15984        6-12  -760  -157    776  953  A0 P1                    
  7042724 27-Apr-2007 18:30:08 18:33:14 18:39:40   572     96    167616        6-12    13  -775    775    0  A0 DR P1 Q1              
  7042725 27-Apr-2007 18:40:12 18:40:42 18:42:16   124     30     18000        6-12  -758  -126    768  953  A0 DR P1 Q1              
  7042727 27-Apr-2007 19:51:16 19:52:06 19:53:28   132     32     17736        6-12  -749   -72    752  953  A0 P1                    
  7042728 27-Apr-2007 20:29:48 20:30:26 20:30:40    52     30      7536        6-12  -746   -73    750  953  A0 P1                    
  7042729 27-Apr-2007 21:06:56 21:09:58 21:12:28   332     56     66144        6-12  -740   -74    744  953  A0 DR P1 Q1              
  7042733 27-Apr-2007 21:21:28 21:22:18 21:22:48    80     24      9408        6-12  -721  -182    744    0  A0 DR P1 Q1              
  7042730 27-Apr-2007 21:37:36 21:38:54 21:40:24   168     88     50880        6-12  -735   -71    739    0  A0 P1                    
  7042734 27-Apr-2007 21:40:24 21:41:14 21:44:28   244     80     58368        6-12  -734  -156    750  953  A0 DR P1 Q1              
  7042731 27-Apr-2007 21:47:40 21:48:14 21:50:32   172     28     24864        6-12   251  -713    756    0  A0 DR P1 PE Q2           
  7042735 27-Apr-2007 22:54:32 22:55:02 22:56:40   128     96     21024         3-6     0     0      0    0  A0 DR PS Q1              
  7042736 27-Apr-2007 23:20:56 23:21:34 23:24:04   188     20     18720        6-12    74  -742    746    0  A0 DR P1 Q1              
  7042801 28-Apr-2007 00:46:36 00:47:46 00:53:12   396     76     86616       12-25  -710  -158    728  953  A0 P1                    
  7042833 28-Apr-2007 00:53:12 00:54:58 01:01:24   492     52     67080        6-12  -723  -157    740  953  A0 DR P1 Q1              
  7042815 28-Apr-2007 02:05:32 02:06:30 02:09:32   240     60     60912        6-12  -711   -64    714  953  A0 DR P1 Q1              
  7042816 28-Apr-2007 02:38:20 02:38:50 02:41:36   196     24     21864        6-12  -701  -168    721  953  A0 DR P1 Q1              
  7042804 28-Apr-2007 04:09:48 04:15:46 04:30:16  1228    352    479424       12-25  -689  -162    708  953  A0 DR EE P1 Q2           
  7042819 28-Apr-2007 10:45:56 10:46:26 10:47:12    76     24      8592        6-12  -662  -136    675  953  A0 P1                    
  7042823 28-Apr-2007 13:53:16 13:53:22 13:54:32    76     22      9264        6-12  -647  -124    659  953  A0 P1                    
  7042825 28-Apr-2007 16:42:56 16:43:22 16:44:12    76     24      8256        6-12  -615  -165    637    0  A0 P1                    
  7042826 28-Apr-2007 19:53:28 19:55:58 19:57:48   260     52     53232        6-12  -594  -165    616    0  A0 P1                    
  7042834 28-Apr-2007 19:57:48 20:01:54 20:06:56   548     68    171360        6-12  -600  -223    640    0  A0 DR P1 Q1              
  7042827 28-Apr-2007 20:06:56 20:07:14 20:21:40   884     52    165408        6-12  -599  -219    638    0  A0 DR P1 Q1              
