comp_id,id,flag,spacecraft,time_start,time_end,time_pt_max,pt_max,b_max,np_max,v_min,v_max
|20||STEREO-A|2009-08-10 17:00:00|2009-08-12 07:00:00|2009-08-11 10:20:00|170|12.5|50|305|550
|21||STEREO-A|2009-08-21 20:30:00|2009-08-22 20:00:00|2009-08-22 04:50:00|110|9.8|38|280|400
|22||STEREO-A|2009-09-05 02:00:00|2009-09-05 18:00:00|2009-09-05 07:00:00|75|8.3|26|305|420
|23||STEREO-A|2009-09-08 05:31:00|2009-09-09 11:00:00|2009-09-08 09:45:00|200|14.8|70|310|500
|24||STEREO-A|2009-09-17 18:00:00|2009-09-19 09:20:00|2009-09-18 12:00:00|70|7.5|20|280|420
|25||STEREO-A|2009-10-15 02:00:00|2009-10-16 09:00:00|2009-10-15 15:00:00|50|6.2|20|250|340
|26||STEREO-A|2009-10-30 18:00:00|2009-10-31 22:00:00|2009-10-31 15:26:00|117|9.5|14|350|580
|27||STEREO-A|2009-11-17 16:58:00|2009-11-18 08:30:00|2009-11-18 04:17:00|90|9.3|26.7|290|450
|28||STEREO-A|2009-11-22 18:00:00|2009-11-24 06:00:00|2009-11-23 10:04:00|55|7.3|18.5|255|360
|29||STEREO-A|2009-11-25 16:00:00|2009-11-26 11:00:00|2009-11-26 00:15:00|147|18|40|300|405
|30||STEREO-A|2009-11-29 08:00:00|2009-12-01 04:09:00|2009-11-30 00:42:00|95|9|25.2|310|610
|31||STEREO-A|2009-12-21 21:00:00|2009-12-22 23:51:00|2009-12-22 01:23:00|140|12|50|285|610
|32||STEREO-A|2009-12-27 05:15:00|2009-12-28 03:30:00|2009-12-27 15:41:00|55|7.3|12.5|330|420
|1||STEREO-A|2009-12-31 12:53:00|2010-01-01 16:00:00|2009-12-31 21:08:00|105|10|30|295|380
|2||STEREO-A|2010-01-06 21:44:00|2010-01-08 06:00:00|2010-01-07 14:00:00|70|11.2|25.8|285|400
|3||STEREO-A|2010-01-15 07:00:00|2010-01-16 20:00:00|2010-01-16 00:14:00|170|14.5|50|258|480
|4||STEREO-A|2010-01-22 02:00:00|2010-01-23 02:46:00|2010-01-22 10:48:00|100|11.5|40|350|445
|5||STEREO-A|2010-01-24 12:30:00|2010-01-26 06:00:00|2010-01-24 17:19:00|150|12|50|300|530
|6||STEREO-A|2010-02-01 06:46:00|2010-02-04 02:00:00|2010-02-01 17:31:00|50|8|10|305|450
|7|*|STEREO-A|2010-02-05 03:33:00|2010-02-07 10:30:00|2010-02-05 06:30:00|150|15|50|330|600
|8||STEREO-A|2010-02-10 04:00:00|2010-02-13 08:00:00|2010-02-12 13:51:00|90|10|10|320|590
|9||STEREO-A|2010-02-20 12:00:00|2010-02-23 00:00:00|2010-02-22 00:45:00|90|10|10|380|660
|10||STEREO-A|2010-03-11 19:09:00|2010-03-12 08:12:00|2010-03-12 01:17:00|300|20|80|323|600
|11||STEREO-A|2010-03-22 04:00:00|2010-03-23 21:00:00|2010-03-22 21:38:00|100|13|30|305|520
|12||STEREO-A|2010-03-30 02:00:00|2010-03-31 16:00:00|2010-03-30 19:57:00|120|13.5|30|300|485
|13||STEREO-A|2010-04-03 09:00:00|2010-04-05 05:00:00|2010-04-04 01:24:00|165|13.5|40|320|630
|14||STEREO-A|2010-04-08 08:00:00|2010-04-13 00:00:00|2010-04-09 04:08:00|70|8|14.7|340|620
|15||STEREO-A|2010-04-30 00:00:00|2010-05-03 13:15:00|2010-05-02 03:20:00|70|11|10|350|570
|16||STEREO-A|2010-05-06 15:30:00|2010-05-08 09:24:00|2010-05-08 01:13:00|270|18|30|330|680
|17||STEREO-A|2010-05-18 23:32:00|2010-05-20 03:00:00|2010-05-19 13:03:00|135|13|30|300|460
|18||STEREO-A|2010-05-24 08:00:00|2010-05-25 12:00:00|2010-05-24 17:23:00|180|14|60|330|620
|19||STEREO-A|2010-06-04 03:30:00|2010-06-05 07:30:00|2010-06-04 14:28:00|190|18|50|330|660
|20||STEREO-A|2010-06-08 01:00:00|2010-06-08 23:00:00|2010-06-08 16:04:00|130|11.5|20|420|630
|21||STEREO-A|2010-06-14 14:00:00|2010-06-15 11:35:00|2010-06-15 03:30:00|177|14.6|30|330|610
|22||STEREO-A|2010-06-20 09:00:00|2010-06-21 13:00:00|2010-06-21 05:16:00|220|17|60|330|580
|23||STEREO-A|2010-06-30 18:26:00|2010-07-01 16:00:00|2010-07-01 01:30:00|130|14.5|50|300|500
|24||STEREO-A|2010-07-02 15:00:00|2010-07-04 06:00:00|2010-07-03 07:55:00|105|11|14.7|320|570
|25||STEREO-A|2010-07-29 08:00:00|2010-08-05 00:00:00|2010-07-31 15:50:00|95|11|30|280|670
|26||STEREO-A|2010-08-11 03:00:00|2010-08-12 08:00:00|2010-08-12 00:10:00|70|9|14.7|350|560
|27||STEREO-A|2010-08-29 22:48:00|2010-08-31 12:00:00|2010-08-31 00:00:00|180|19.8|50|290|580
|28||STEREO-A|2010-09-24 15:00:00|2010-09-26 01:00:00|2010-09-24 05:50:00|60|9.4|14.3|300|460
|29||STEREO-A|2010-09-26 18:00:00|2010-09-28 21:00:00|2010-09-27 14:20:00|70|9.8|20|330|585
