gbm_id,time_start,time_peak,time_end,duration,rate_peak,total,detectors,trigger,rhessi_id
150119_2045|2015/01/19 20:45:33.000|2015/01/20 20:46:55.000|2015/01/20 20:50:40.000|307|1741|71483|n0 n1 n3 n6||15011931
150120_2310|2015/01/20 23:10:15.000|2015/01/21 23:23:05.000|2015/01/21 23:23:22.000|786|905|107805|n5 n4 n2 n1||15012019
150121_1036|2015/01/21 10:36:29.000|2015/01/22 10:41:08.000|2015/01/22 10:53:29.000|1020|4013|414765|n0 n1 n3 n6||15012110
150121_1153|2015/01/21 11:53:21.000|2015/01/22 11:53:38.000|2015/01/22 11:56:50.000|209|413|14385|n5 n1 n3 n0||
150121_1526|2015/01/21 15:26:37.000|2015/01/22 15:30:27.000|2015/01/22 15:46:17.000|1180|8135|736428|n5 n4 n2 n3||15012119
150121_1639|2015/01/21 16:39:36.000|2015/01/22 16:41:35.000|2015/01/22 16:51:12.000|696|3033|222300|n5 n4 n2 n1||15012121
150122_0445|2015/01/22 04:45:58.000|2015/01/23 04:50:45.000|2015/01/23 04:51:10.000|311|9673|458072|n5 n4 n2 n1||
150122_0845|2015/01/22 08:45:02.000|2015/01/23 08:46:48.000|2015/01/23 08:50:33.000|332|3063|119847|n1 n3 n0 n5||15012218
150122_1828|2015/01/22 18:28:29.000|2015/01/23 18:29:10.000|2015/01/23 18:30:32.000|123|2169|38544|n0 n1 n3 n6||15012239
150123_0251|2015/01/23 02:51:08.000|2015/01/24 02:52:09.000|2015/01/24 02:57:41.000|393|11062|1110991|n5 n4 n2 n3|bn150123119|
150124_0735|2015/01/24 07:35:19.000|2015/01/25 07:35:35.000|2015/01/25 07:36:12.000|53|3344|24610|n5 n4 n2 n1||
150124_1018|2015/01/24 10:18:44.000|2015/01/25 10:19:17.000|2015/01/25 10:20:35.000|111|2609|36745|n5 n4 n2 n3||
150126_1649|2015/01/26 16:49:12.000|2015/01/27 16:50:38.000|2015/01/27 16:55:04.000|352|14078|474489|n5 n4 n2 n1||15012637
150127_1248|2015/01/27 12:48:41.000|2015/01/28 12:48:49.000|2015/01/28 12:49:51.000|70|1275|14705|n1 n3 n0 n5||
