flare_key	date	begin	begin_m	max	max_m	end	end_m	latitude	longitude	type	area	disk_movie	area_movie
10082	2014-05-10	06:53:00		07:02:00		07:12:00		N10	E12	SF	95	20140510_0640-0809_big.avi\n	
10083	2014-05-10	06:58:00		07:00:00		07:01:00		S07	E24	SF	30	20140510_0640-0809_big.avi\n	
10084	2014-05-10	08:35:00	U	08:39:00		08:50:00		N15	E10	SF	50	20140510_0825-0902_big.avi\n	
10085	2014-05-10	08:39:00		08:42:00		08:50:00		S19	E62	SF	20	20140510_0825-0902_big.avi\n	
10086	2014-05-10	09:23:00		09:29:00		09:42:00		N10	E31	SF	60	20140510_0917-0943_big.avi\n	
10087	2014-05-10	09:32:00		09:38:00		10:08:00		S12	W48	1N	105	20140510_0922-1003_big.avi\n	
10088	2014-05-12	06:25:00		06:38:00		07:07:00		N04	W02	1F	170	20140512_0616-0704_big.avi\n	
10089	2014-05-12	07:26:00		07:35:00		07:49:00		S17	E33	SF	30	20140512_0719-0745_big.avi\n	
10090	2014-05-12	09:36:00		09:40:00		10:38:00		S18	E33	SF	40	20140512_0915-1023_big.avi\n	
10091	2014-05-12	11:40:00	B	11:42:00	U	11:49:00		S17	E29	SF	60	20140512_1143-1218_big.avi\n	
10092	2014-05-14	04:49:00	B	05:27:00	U	05:50:00		N09	E54	SF	60	20140514_0426-0536_big.avi\n	
10093	2014-05-14	04:49:00	B	04:57:00		05:07:00		S14	E09	SF	15	20140514_0428-0510_big.avi\n	
10094	2014-05-14	06:49:00		07:12:00		08:18:00		N09	E52	SF	70	\n	
10095	2014-05-14	08:24:00		08:27:00		08:47:00		S13	E06	SF	25	20140514_0819-0929_big.avi\n	
10096	2014-05-14	08:37:00		08:38:00		09:10:00		N09	E52	SF	50	20140514_0819-0929_big.avi\n	
10097	2014-05-14	10:24:00		10:29:00		10:49:00		N10	E51	SF	40	\n	
10098	2014-05-14	12:18:00	B	12:18:00	U	12:25:00		N09	E49	SF	45	\n	
10099	2014-05-14	12:41:00		12:42:00		12:43:00		N09	E50	SF	40	\n	
10100	2014-05-14	13:05:00		13:17:00		13:51:00		N07	W25	1F	225	20140514_1347-1359_big.avi\n	
10101	2014-05-19	11:14:00		11:16:00		11:32:00		N09	W14	SF	15	\n	
10102	2014-05-20	14:55:00		15:01:00		15:18:00		S18	E14	SF	15	20140520_1450-1509_big.avi\n	
10103	2014-05-21	05:11:00		05:22:00		05:37:00		S11	E61	SF	30	20140521_0458-0538_big.avi\n	
10104	2014-05-21	07:10:00		07:28:00		07:33:00		S17	E21	SF	15	20140521_0712-0727_big.avi\n	
10105	2014-05-21	07:13:00		07:14:00		07:22:00		S20	W59	SF	60	20140521_0712-0727_big.avi\n	
10106	2014-05-21	08:29:00		08:29:00		08:32:00		S18	W59	SF	40	20140521_0818-0833_big.avi\n	
10107	2014-05-21	12:53:00		12:55:00		13:03:00		S16	E18	SF	15	\n	
10108	2014-05-22	13:17:00		13:21:00		13:30:00		S18	W90	SF	50	20140522_1308-1324_big.avi\n	
10109	2014-05-22	15:50:00	B	15:51:00	B	15:58:00		S18	W13	SF	15	20140522_1528-1559_big.avi\n	
10110	2014-05-23	07:55:00		07:56:00		08:24:00		S17	W36	SF	35	20140523_0746-0826_big.avi\n	
10111	2014-05-24	06:07:00	B	06:10:00		07:55:00		S18	W49	SF	60	\n	
10112	2014-05-24	07:46:00		07:57:00		08:05:00		S09	E20	SF	15	\n	
10113	2014-05-24	08:11:00		08:16:00		10:14:00		S19	W47	1F	110	20140524_0803-1031_big.avi\n	
