1989/09/29 12:05:00	1989/09/30 02:10:00	5698	-26	90	4500		1989/09/29 11:33:00	X9	epl
1989/10/06 00:50:00	1989/10/06 08:25:00	0	\N	\N	22		\N	\N	\N
1989/10/19 13:05:00	1989/10/20 16:00:00	5747	-27	-10	40000		1989/10/19 12:58:00	X13	4b
1989/11/09 02:40:00	1989/11/09 06:10:00	0	\N	\N	43		\N	\N	\N
1989/11/15 07:35:00	1989/11/15 09:10:00	5786	11	26	71		1989/11/15 06:59:00	X3	3b
1989/11/27 20:00:00	1989/11/28 11:05:00	5800	30	-05	380		1989/11/25 23:55:00	X1	2n
1989/11/30 13:45:00	1989/12/01 13:40:00	5800	26	59	7300		1989/11/30 12:29:00	X2	3b
1990/03/19 07:05:00	1990/03/19 23:15:00	5969	31	43	950		1990/03/19 05:08:00	X1	2b
1990/03/29 09:15:00	1990/03/29 10:05:00	5988	-04	37	16		1990/03/28 07:51:00	M4	2n
1990/04/07 22:40:00	1990/04/08 13:30:00	6007	22	-72	18		1990/04/04 13:38:00	M7	0n
1990/04/11 21:20:00	1990/04/11 21:30:00	0	\N	\N	13		\N	\N	\N
1990/04/17 05:00:00	1990/04/17 06:55:00	6022	32	-39	12		1990/04/15 03:02:00	X1	2b
1990/04/28 10:05:00	1990/04/28 17:35:00	0	\N	\N	150		\N	\N	\N
1990/05/21 23:55:00	1990/05/22 07:50:00	6063	35	36	410		1990/05/21 22:19:00	X5	2b
1990/05/24 21:25:00	1990/05/25 01:15:00	6063	33	78	180		1990/05/24 20:51:00	X9	1b
1990/05/28 07:15:00	1990/05/29 01:00:00	0	\N	\N	45		\N	\N	\N
1990/06/12 11:40:00	1990/06/12 17:00:00	6089	10	33	79		1990/06/12 05:41:00	M6	2b
1990/07/26 17:20:00	1990/07/26 23:15:00	0	\N	\N	21		\N	\N	\N
1990/08/01 00:00:00	1990/08/01 20:15:00	6180	20	-45	230		1990/07/30 07:36:00	M4	2b
1991/01/31 11:30:00	1991/01/31 16:20:00	6469	-17	35	240		1991/01/31 02:30:00	X1	2b
1991/02/25 12:10:00	1991/02/25 13:05:00	6497	-16	80	13		1991/02/25 08:19:00	X1	2n
1991/03/23 08:20:00	1991/03/24 03:50:00	6555	-26	-28	43000		1991/03/22 22:47:00	X9	3b
1991/03/29 21:20:00	1991/03/30 03:30:00	0	\N	\N	20		\N	\N	\N
1991/04/03 08:15:00	1991/04/04 10:00:00	6562	14	00	52		1991/04/02 23:27:00	M6	3b
1991/05/13 03:00:00	1991/05/13 09:10:00	6615	-09	90	350		1991/05/13 01:44:00	M8	\N
1991/05/31 12:25:00	1991/06/01 04:45:00	0	\N	\N	22		\N	\N	\N
1991/06/04 08:20:00	1991/06/11 14:20:00	6659	30	-70	3000		1991/06/04 03:52:00	X12	3b
1991/06/14 23:40:00	1991/06/15 19:50:00	6659	33	69	1400		1991/06/15 08:21:00	X12	3b
1991/06/30 07:55:00	1991/07/02 10:10:00	6703	30	-85	110		1991/06/28 06:26:00	M6	\N
1991/07/07 04:55:00	1991/07/08 16:45:00	6703	26	-03	2300		1991/07/07 02:23:00	X1	2b
1991/07/11 02:40:00	1991/07/11 04:50:00	6718	-22	-34	30		1991/07/10 12:28:00	M3	2n
1991/07/11 22:55:00	1991/07/12 02:05:00	0	\N	\N	14		\N	\N	\N
1991/08/26 17:40:00	1991/08/27 18:30:00	6805	25	-64	240		1991/08/25 01:15:00	X2	2b
1991/10/01 17:40:00	1991/10/01 18:10:00	6853	-21	-32	12		1991/09/29 15:33:00	M7	4b
1991/10/28 13:00:00	1991/10/28 14:40:00	6891	-13	-15	40		1991/10/27 05:48:00	X6	3b
1991/10/30 07:45:00	1991/10/30 08:10:00	6891	-08	25	94		1991/10/30 06:34:00	X2	3b
1992/02/07 06:45:00	1992/02/07 11:15:00	7042	-13	10	78		1992/02/06 10:48:00	M4	2b
1992/03/16 08:40:00	1992/03/16 08:40:00	7100	-14	-29	10		1992/03/15 01:54:00	M7	3b
1992/05/09 10:05:00	1992/05/09 21:00:00	7154	-26	-08	4600		1992/05/08 15:46:00	M7	4b
1992/06/25 20:45:00	1992/06/26 06:10:00	7205	09	67	390		1992/06/25 20:14:00	X3	2b
1992/08/06 11:45:00	1992/08/06 12:10:00	7248	-09	-68	14		1992/08/03 07:06:00	M4	1n
1992/10/30 19:20:00	1992/10/31 07:10:00	7321	-22	61	2700		1992/10/30 18:16:00	X1	2b
1993/03/04 15:05:00	1993/03/04 17:35:00	7434	-14	56	17		1993/03/04 12:40:00	C8	2n
1993/03/12 20:10:00	1993/03/13 01:55:00	7440	-00	51	44		1993/03/12 18:15:00	M7	3b
1994/02/20 03:00:00	1994/02/21 09:00:00	7671	09	02	10000		1994/02/20 01:41:00	M4	3b
1994/10/20 00:30:00	1994/10/20 03:40:00	7790	12	24	35		1994/10/19 21:27:00	M3	1f
1995/10/20 08:25:00	1995/10/20 12:10:00	7912	-09	55	63		1995/10/20 06:07:00	M1	0f
1997/11/04 08:30:00	1997/11/04 11:20:00	8100	-14	33	72	W/04 0610	1997/11/04 05:58:00	X2	2b
