,Date,Quality Rating, Source Loc.,,Previous Image Time,Image Time,Speed,,Direction of Meas.
,,,N/S,E/W,,,Plane-of-Sky,Projected,
,,,,,,,,,
,,,,,,10:27:49,22,off limb,
82,15-Nov-97,Q1,22,-61,22:33:56,23:02:51,,,S
,,,,,,23:19:53,150,off limb,
83,21-Nov-97,Q0,22,13,06:05:16,06:17:19,,,NE
,,,,,,06:29:26,55,73,
,,,,,,06:41:30,120,175,
,,,,,,06:53:47,54,88,
84,22-Nov-97,Q3,-19,9,11:42:15,12:08:58,,,N
85,27-Nov-97,Q1,17,-65,13:11:10,13:36:58,,,
,Note: only one wavefront is shown in diagram; evolution is very inhomogeneous,,,,,13:51:42,see note,,
,,,,,,14:03:36,,,
86,28-Nov-97,Q1,-20,-14,11:45:03,12:18:43,,,NE
87,12-Dec-97,Q2,-23,14 ,16:50:53,17:05:53,,,NE
,,,,,,17:20:53,67,70,
,,,,,,17:36:00,115,116,
88,12-Dec-97,Q3,25,54,22:05:16,22:21:53,,,SW
89,18-Dec-97,Q1,18,-14,12:21:20,12:37:46,,,S
,,,,,,12:50:21,99,99,
90,18-Dec-97,Q3,18,-14,13:49:41,14:06:49,,,S
,Note: only two wavefronts are shown in diagram; third wavefront is very inhomogeneous ,,,,,14:19:26,211,222,
,,,,,,14:35:54,see note,,
,,,,,,14:48:30,,,
91,18-Dec-97,Q2,18,-9,21:02:09,21:15:33,,,S
,Note: only one wavefront is shown in diagram; other wavefronts are very inhomogeneous,,,,,21:32:27, see note, ,
,,,,,,21:45:48,,,
92,28-Dec-97,Q3 ,21,14,05:15:24,05:22:58,,,S
,,,,,,05:33:27,223,230,
,,,,,,05:44:20,149,150,
93,30-Dec-97,Q1,-28,-27,05:36:30,05:44:01,,,N
,,,,,,05:54:29,115,125,
94,30-Dec-97,Q1,-29,-19,19:47:27,19:58:23,,,SW
,Note: only two wavefronts are shown in diagram; third wavefront is very inhomogeneous,,,,,20:08:54,129,175,
,,,,,,20:16:56,see note,,
95,03-Jan-98,Q1,-31,35,18:37:31,18:50:00,,,S
,,,,,,19:07:08,72,80,
,,,,,,19:30:05,27,47,
96,03-Jan-98,Q0 S,20,17,22:12:48,22:29:21,,,S
,,,,,,22:41:50,92,93,
,,,,,,23:12:44,51,51,
97,06-Jan-98,Q1,29,32,00:33:58,00:51:17,,,SW
,,,,,,01:14:10,15,15,
,,,,,,01:33:10,37,39,
98,08-Jan-98,Q1,-26,-60,06:56:03,07:18:55,,,S
,,,,,,07:37:43,69,off limb,
,,,,,,07:54:53,20,off limb,
99,12-Jan-98,Q2,-24,-15,02:00:30,02:13:07,,,N
,Note: only two wavefronts are shown in diagram; third wavefront is very inhomogeneous,,,,,02:29:36,201,203,
,,,,,,02:43:40,see note,,
100,14-Jan-98,Q2,16,-37,22:41:01,23:09:37,,,S
,,,,,,23:29:39,98,99,
,,,,,,23:42:00,269,272,
101,17-Jan-98,Q2,-24,62,22:33:08,22:49:05,,,S
,,,,,,23:03:28,125,off limb,
,,,,,,23:34:09,116,off limb,
102,19-Jan-98,Q1,34,90,06:29:34,06:43:40,,,
,,,,,,07:18:49,105,off limb,S
103,20-Jan-98,Q3,23,-90,19:32:54,19:51:12,,,
,,,,,,20:01:54,180,off limb,S
,,,,,,20:19:00,152,off limb,
104,25-Jan-98,Q4,27,-29,14:18:55,14:31:26,,,S
,,,,,,14:47:53,239,240,
,,,,,,15:01:57,150,158,
,,,,,,15:20:08,116,134,
105,25-Jan-98,Q0,-24,32,19:12:20,19:34:57, , ,NW
,,,,,,19:55:24,41,52,
,,,,,,20:13:18,167,187,
