flare_key	date	begin	begin_m	max	max_m	end	end_m	latitude	longitude	type	area	disk_movie	area_movie
20700	2015-04-16	11:07:00		11:26:00		11:44:00		N10	E08	SF	80	20150416_1057-1147_big.avi	
20699	2015-04-16	09:19:00		09:21:00		09:29:00		N10	E07	SF	30	20150416_0909-0927_big.avi	
20698	2015-04-16	09:03:00		09:06:00		09:29:00		N21	E46	SN	90	20150416_0850-0935_big.avi	
20697	2015-04-16	06:47:00		06:50:00		06:58:00		N20	E48	SF	50	20150416_0636-0658_big.avi	
20696	2015-04-16	06:08:00	B	06:13:00		06:58:00		N13	E24	1F	110	20150416_0539-0649_big.avi	
20695	2015-04-15	12:52:00		12:58:00		13:20:00		N23	E57	SF	30		
20694	2015-04-15	12:31:00		12:36:00		12:46:00		N10	E17	SF	30		
20693	2015-04-15	11:34:00		11:39:00		11:57:00		N11	E23	SF	50		
20692	2015-04-13	11:30:00		11:33:00		11:35:00		S14	W72	SF	25		
20691	2015-04-13	10:07:00		10:11:00		10:15:00		S14	W72	SF	30	20150413_0957-1015_big.avi	
20690	2015-04-13	09:25:00		09:25:00		09:31:00		N13	E24	SF	20		
20689	2015-04-13	09:02:00		09:08:00		09:13:00		S14	W69	SF	30	20150413_0852-0922_big.avi	
20688	2015-04-13	08:45:00	B	08:47:00	U	08:49:00		N12	E24	SF	20		
20687	2015-04-13	07:29:00		07:31:00		07:36:00		N09	E59	SF	20		
20686	2015-04-13	06:52:00		06:52:00		06:55:00		S16	W51	SF	20		
20685	2015-04-13	06:38:00		06:45:00		06:46:00		N16	E49	SF	40		
20684	2015-04-13	06:32:00		06:36:00		06:38:00		N13	E24	SF	35	20150413_0623-0639_big.avi	
20683	2015-04-13	05:25:00	B	05:25:00	B	05:31:00		S03	W04	SF	20		
20682	2015-04-12	12:16:00		12:17:00		12:28:00		S14	W55	SF	40		
20681	2015-04-12	10:50:00		10:50:00		10:56:00		S14	W53	SF	60	20150412_1040-1056_big.avi	
20680	2015-04-12	09:26:00		09:45:00		10:27:00		N09	E65	SF	70	20150412_0841-1044_big.avi	
20679	2015-04-12	08:11:00		08:15:00		08:24:00		N13	E66	SN	30	20150412_0801-0819_big.avi	
20678	2015-04-11	12:49:00		13:12:00		13:18:00		N13	E45	SF	35		
20677	2015-04-11	11:56:00		12:00:00		12:06:00		N13	E45	SF	30		
20676	2015-04-11	09:43:00		09:43:00		09:57:00		N13	E46	SF	60		
20675	2015-04-11	07:40:00		07:46:00		07:53:00		N14	E47	SF	20		
20674	2015-04-10	09:36:00		09:50:00		10:09:00		S13	W30	SN	90	20150410_0925-1014_big.avi	
20673	2015-04-10	08:00:00		08:04:00		08:23:00		S13	W29	SB	80	20150410_0747-0824_big.avi	
20672	2015-04-10	06:26:00		06:31:00		06:49:00		S13	W28	SF	20		
20671	2015-04-10	05:50:00		05:51:00		06:09:00		S13	W28	SF	25		
20670	2015-04-09	12:59:00		13:01:00		13:05:00		S13	W16	SF	20	20150409_1249-1322_big.avi	
20669	2015-04-09	10:58:00		11:01:00		11:07:00		S21	E02	SF	35	20150409_1050-1106_big.avi	
20668	2015-04-09	09:34:00		09:36:00		09:39:00		S14	W11	SF	40	20150409_0924-0942_big.avi	
20667	2015-04-09	08:52:00		08:52:00		08:55:00		S14	W11	SF	20	20150409_0828-0854_big.avi	
20666	2015-04-09	08:38:00		08:44:00		08:45:00		S15	W11	SF	25	20150409_0828-0854_big.avi	
20665	2015-04-09	06:16:00		06:32:00		07:46:00		S14	W13	1B	130	20150409_0615-0747_big.avi	
20664	2015-04-09	05:25:00		06:06:00		06:12:00		S14	W10	SF	55	20150409_0555-0612_big.avi	
